journal_id,name,publisher,website,p_issn,e_issn,subject_area,accreditation,scopus_indexed,garuda_indexed,Impact,H5-index,Citations 5yr,Citations
2115,JAS (Journal of ASEAN Studies),"Faculty of Humanities,Binus University",https://journal.binus.ac.id/index.php/jas/index,23381353,23381353,Social,S1Accredited,True,True,"2,96",21,1.554,1.854
533,Journal of Governance and Public Policy,"Magister Ilmu Pemerintahan, Universitas Muhammadiyah Yogyakarta (MIP-UMY)",https://journal.umy.ac.id/index.php/GPP/index,23558695,25497669,Social,S1Accredited,False,True,"2,96",24,2.126,2.435
5676,Automotive Experiences,Automotive Laboratory of Universitas Muhammadiyah Magelang in collaboration with Association of Indonesian Vocational Educators (AIVE),http://journal.unimma.ac.id/index.php/AutomotiveExperiences,26156202,26156636,,S1Accredited,True,True,"2,84",22,1.957,2.088
4030,JURNAL KESEHATAN LINGKUNGAN (Journal of Environmental Health),Universitas Airlangga,https://e-journal.unair.ac.id/JKL/index,18297285,2540881X,Health,S1Accredited,True,True,"2,79",27,3.593,5.278
1187,Jurnal Sylva Lestari,Universitas Lampung,http://jurnal.fp.unila.ac.id/index.php/JHT,23390913,25495747,"Economy, Science, Agriculture",S1Accredited,True,True,"2,79",36,6.103,7.867
1017,International Journal of Advances in Intelligent Informatics,Universitas Ahmad Dahlan,http://ijain.org/index.php/IJAIN/index,24426571,25483161,Science,S1Accredited,True,True,"2,76",23,2.344,2.879
685,Al-Jami'ah: Journal of Islamic Studies,Universitas Islam Negeri Sunan Kalijaga,http://www.aljamiah.or.id,0126012X,2338557X,Religion,S1Accredited,True,True,"2,73",38,6.213,8.684
748,MIQOT: Jurnal Ilmu-ilmu Keislaman,Universitas Islam Negeri Sumatera Utara,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot,08520720,25023616,"Humanities, Art, Religion",S1Accredited,True,True,"2,73",25,2.373,2.601
10818,Mechanical Engineering for Society and Industry,Universitas Muhammadiyah Magelang,https://journal.unimma.ac.id/index.php/mesi,0,27985245,,S1Accredited,True,True,"2,65",14,936,940
3405,SQUALEN BULLETIN OF MARINE AND FISHERIES POSTHARVEST AND BIOTECHNOLOGY,Balai Besar Riset Pengolahan Produk dan Bioteknologi Kelautan dan Perikanan (BBRPPBKP),https://www.bbp4b.litbang.kkp.go.id/squalen-bulletin/index.php/squalen/index,20895690,24069272,"Science, Agriculture, Social",S1Accredited,True,True,"2,65",18,1.486,1.864
5600,Journal of Local Government Issues ( Logos),Universitas Muhammadiyah Malang,http://ejournal.umm.ac.id/index.php/LOGOS/index,26208091,26203812,,S1Accredited,False,True,"2,62",13,675,747
4214,JOIV : International Journal on Informatics Visualization,Society of Visual Informatics,http://joiv.org/index.php/joiv,25499610,25499904,Science,S1Accredited,True,True,"2,58",36,8.446,9.056
787,Jurnal Pengolahan Hasil Perikanan Indonesia,Institut Pertanian Bogor,http://journal.ipb.ac.id/index.php/jphpi,23032111,2354886X,Science,S1Accredited,True,True,"2,56",40,9.699,13.591
9360,Jambura Journal of Biomathematics (JJBM),Universitas Negeri Gorontalo,https://jjbm.fmipa.ung.ac.id/index.php/ejournal/index,|,27230317,"Science, Education",S1Accredited,True,True,"2,56",11,440,450
998,Indonesian Journal of Pharmacy,Faculty of Pharmacy Universitas Gadjah Mada (UGM) Yogyakarta Indonesia in collaboration with IAI (Ikatan Apoteker Indonesia or Indonesian Pharmacist Association),http://indonesianjpharm.farmasi.ugm.ac.id/index.php/3,23389486,23389486,Health,S1Accredited,True,True,"2,55",23,3.562,6.191
915,CommIT (Communication and Information Technology) Journal,Bina Nusantara University,https://journal.binus.ac.id/index.php/commit/index,19792484,24607010,Science,S1Accredited,True,True,"2,49",22,2.271,2.952
6056,Science and Technology Indonesia,"Magister Program of Material Sciences, Graduate School of Universitas Sriwijaya",http://sciencetechindonesia.com/index.php/jsti,25804405,25804391,,S1Accredited,True,True,"2,48",19,2.269,2.437
5234,EduReligia : Jurnal Pendidikan Agama Islam,Universitas Nurul Jadid,https://ejournal.unuja.ac.id/index.php/edureligia/index,25494821,25795694,,S1Accredited,False,True,"2,47",22,3.435,3.665
3636,Jurnal Administrasi Kesehatan Indonesia,Universitas Airlangga,https://e-journal.unair.ac.id/JAKI/,23033592,25409301,Health,S1Accredited,True,True,"2,39",30,3.792,4.152
894,Electronic Journal of Graph Theory and Applications,Indonesian Combinatorial Society; Institut Teknologi Bandung; University of Newcastle Australia,http://www.ejgta.org/index.php/ejgta/index,23382287,23382287,Engineering,S1Accredited,True,True,"2,35",13,856,1.007
5932,Media Publikasi Promosi Kesehatan Indonesia (MPPKI),"Fakultas Kesehatan Masyarakat, Universitas Muhammadiyah Palu",http://jurnal.unismuhpalu.ac.id/index.php/MPPKI,25976052,25976052,,S1Accredited,False,True,"2,32",29,6.065,6.224
94,AGRARIS: Journal of Agribusiness and Rural Development Research,Universitas Muhammadiyah Yogyakarta,https://agraris.umy.ac.id/index.php/agraris,2407814X,25279238,"Economy, Agriculture, Social",S1Accredited,True,True,"2,27",25,2.183,2.740
791,Jurnal Kajian Bali,Universitas Udayana,https://ejournal1.unud.ac.id/index.php/kajianbali,20884443,25800698,"Humanities, Art, Social",S1Accredited,True,True,"2,24",21,2.627,3.465
1103,Buletin Ekonomi Moneter dan Perbankan,"Bank Indonesia Institute, Bank Indonesia",https://www.bmeb-bi.org/index.php/BEMP/,24609196,24609196,,S1Accredited,True,True,"2,23",38,6.958,12.117
970,Etikonomi,Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta,http://journal.uinjkt.ac.id/index.php/etikonomi,14128969,24610771,Economy,S1Accredited,False,True,"2,20",31,4.628,6.059
7521,Teknomekanik,Universitas Negeri Padang,http://teknomekanik.ppj.unp.ac.id/index.php/teknomekanik,26219980,26218720,,S1Accredited,True,True,"2,19",8,364,403
107,Script Journal: Journal of Linguistic and English Teaching,Program Studi Bahasa Inggris Fakultas Keguruan dan Ilmu Pendidikan Universitas Widya Gama Mahakam Samarinda,https://jurnal.fkip-uwgm.ac.id/index.php/Script/issue/archive,24771880,25026623,Education,S1Accredited,False,True,"2,19",16,1.339,1.603
